Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized)
p102,1.27223,-0.456743,-0.586628,-0.471357,0.580174,-0.882341,0.427991,0.117031
p1020,-1.65651,2.04285,-0.679861,-0.226899,0.965946,-1.26043,2.57303,-0.701336
p10200,1.52058,-0.269918,0.405689,-0.495774,-1.14288,-0.33209,-1.67887,0.0397602
p10201,0.46498,-0.33663,-0.72978,-0.288749,0.0174009,0.0642168,0.696711,0.327692
p10202,-0.429471,1.10943,2.90969,-1.57505,1.04532,0.194988,-0.264414,1.3623
p10203,1.16391,0.248189,0.00616559,2.32079,0.41633,-0.636198,-2.94113,-1.82626
p10204,-0.916378,-0.877673,-0.0254463,-0.424156,-0.477378,0.11847,0.154114,-0.654066
p10205,-0.202069,-0.584173,0.0366889,-0.0753243,-0.120463,0.148735,0.254094,0.122308
p10206,1.8768,1.25146,-3.11015,-0.635373,-0.781302,-0.425764,0.211859,-0.137359
p10207,-0.184141,-0.0805831,-0.404062,0.952773,0.163324,1.00715,1.58696,0.133651
p10208,-0.107014,-0.149807,1.25556,-0.941459,2.27436,-0.829599,-0.211147,0.65118
p10209,0.250013,1.84992,-1.22028,-0.104981,-1.76633,1.54414,-0.970094,-0.0706592
p1021,-3.35101,0.879239,0.102754,-0.498415,-0.252614,-1.78102,-0.769375,0.896862
p10210,-0.138296,-0.779687,-0.200972,-0.231955,-0.0974159,0.168089,0.045387,-0.34317
p10211,1.17084,1.29169,-2.28645,-0.438457,-0.311447,0.928778,0.60042,-0.734615
p10212,0.975856,-0.617544,-0.0458162,0.0164672,0.96354,-0.783101,0.449762,-0.0855497
p10213,2.53643,2.08033,-2.51266,0.732044,2.01801,0.117779,-2.06457,2.78869
p10214,-0.308095,-0.634419,-0.201519,-0.317566,0.87524,-0.0717763,-0.118895,0.384336
p10215,0.987324,-0.258113,-0.804513,-0.152568,-1.15423,-1.4124,-2.05052,0.111458
p10216,-0.736708,-0.179644,-0.712922,-0.0953176,0.0715723,-0.217367,-0.666807,-0.47091
p10217,0.855566,-0.587058,-0.470071,-0.688908,-1.29362,-0.640824,0.116116,1.87338
p10218,0.594988,0.0694859,0.991144,1.53918,0.779042,0.645399,-0.58054,-0.128111
p10219,-0.438817,-0.819077,-0.0340767,-0.0827216,0.574416,0.103078,-0.135281,-0.418259
